,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
121,충남태안군,14470,425301,14133,421853,14497,454345,14358,451136,14921,482294,14657,479172,15511,509431,15050,506578
122,충남홍성군,29138,870231,28922,864975,29479,918636,29086,913325,30695,998778,30376,993130,31583,1059146,31241,1053601
123,세종소계,103638,4066823,103400,4029144,119289,4941608,119008,4900196,133042,5710701,132736,5664460,143648,6352334,143285,6303869
124,광주소계,480131,15335688,477330,15232105,486820,16194312,484241,16095322,503692,17311829,501046,17209276,522020,18431140,519376,18328158
125,광주광산구,142716,4548955,141841,4516283,145338,4783200,144628,4753683,151005,5116642,150238,5085640,157345,5474694,156381,5443628
126,광주남구,67147,2229297,66780,2213651,67375,2340539,66987,2325824,70293,2541730,69915,2526294,72046,2673078,71686,2657386
127,광주동구,28546,883860,28357,877398,28388,949175,28217,943494,31305,1105388,31123,1099237,34291,1247189,34098,1240239
128,광주북구,140116,4229486,139349,4201119,143316,4507653,142583,4479215,146324,4739791,145591,4711130,150778,5024059,150145,4995362
129,광주서구,101606,3444090,101003,3423654,102403,3613745,101826,3593106,104765,3808279,104179,3786975,107560,4012119,107066,3991543
130,전북소계,532182,16156015,528074,16053285,534823,16970546,530481,16874242,549001,18034234,544661,17935499,566545,19057443,561822,18958583
131,전북고창군,11604,323424,11542,321487,11706,341531,11655,339670,11858,360399,11794,358463,12082,380465,12010,378354
132,전북군산시,83629,2690361,82913,2673341,82620,2769001,81816,2752624,84818,2879155,84166,2862566,86597,2967283,86011,2951252
133,전북김제시,21611,540959,21239,537055,21602,572392,21126,568761,21969,612900,21595,609174,22560,641577,22254,637659
134,전북남원시,19602,527336,19273,523631,19794,553638,19397,550279,20255,589628,19832,586503,21446,639372,20875,635900
135,전북무주군,5696,149872,5660,149071,5621,157997,5580,157253,5919,170376,5775,169597,6091,181302,6026,180322
136,전북부안군,12194,317514,11907,315150,12145,331069,11849,328758,12362,347160,12094,344926,12395,360769,12116,358681
137,전북순창군,6711,182211,6454,181144,6791,194811,6610,193816,6719,202051,6499,201028,6748,211619,6576,210561
138,전북완주군,27559,847436,27346,842638,27309,870082,27025,865880,27341,894597,27099,890325,28222,943379,27880,939242
139,전북익산시,90373,2587249,89479,2565818,89928,2691925,88968,2672555,90502,2812644,89528,2792499,91489,2926014,90300,2906233
140,전북임실군,6549,187954,6514,186848,6549,196526,6506,195493,6563,203868,6529,202810,6740,208994,6697,207834
141,전북장수군,4923,136254,4878,135480,4910,145043,4887,144480,5112,155426,5064,154763,5277,158414,5215,157814
142,전북전주시,207708,6749441,207150,6712023,211757,7182213,211100,7146256,220409,7766352,219817,7729611,230833,8334167,230229,8297451
143,전북정읍시,28242,754933,27986,749245,28258,792796,28180,787565,29187,857921,28956,852295,29918,914549,29696,908709
144,전북진안군,5781,161071,5733,160353,5833,171522,5782,170852,5987,181757,5913,180939,6147,189541,5937,188571
145,전남소계,501376,16096778,497522,15962527,506719,16787250,502844,16659879,521706,18037921,517953,17911367,543939,19190602,538188,19068531
146,전남강진군,7826,223177,7798,221633,7808,232384,7781,231075,7893,241832,7863,240736,8103,254427,8071,253228
147,전남고흥군,11511,310466,11445,307881,11690,324897,11626,322388,12032,348562,11864,346112,12329,363292,12077,360788
148,전남곡성군,6881,209627,6799,208632,6815,219181,6775,218154,6804,223693,6714,222546,6933,227809,6817,226656
149,전남광양시,48684,1826949,48444,1812436,49570,1918051,49297,1904455,51007,2092384,50803,2078994,53016,2200508,52773,2188822
150,전남구례군,6344,175013,6129,173896,6448,179726,6281,178661,6365,187339,6168,186255,6416,191378,6166,190333
151,전남나주시,32194,985544,31801,974279,34837,1092298,34182,1083213,36792,1194323,36240,1184685,38318,1284259,37654,1274656
152,전남담양군,12205,355215,12024,351769,12168,370327,12089,367184,12424,393894,12380,390618,13252,419001,12796,415455
153,전남목포시,67586,1940025,67446,1923748,66981,1944221,66808,1927677,67835,2050392,67587,2033854,69030,2171770,68778,2155579
154,전남무안군,21896,719928,21752,714430,22043,736182,21910,731181,22880,791392,22803,786077,25722,928691,25561,922868
155,전남보성군,8509,232911,8393,231507,8363,240988,8240,239628,8295,248494,8179,247200,8562,258333,8352,256888
156,전남순천시,83134,2840272,82555,2818795,85436,3035101,84846,3014359,89200,3313513,88484,3293010,93636,3560435,93041,3539796
157,전남신안군,7469,220842,7325,218854,7353,225273,7228,223611,7505,236305,7355,234567,7408,241732,7376,240212
158,전남여수시,81817,3074018,81514,3045526,82338,3207348,82074,3180100,84992,3439754,84718,3413510,89624,3618948,89243,3596133
159,전남영광군,12671,401645,12531,399029,12807,423868,12612,421222,13229,454928,13102,452355,13895,479495,13523,476738
160,전남영암군,17522,490289,17337,487574,16539,452004,16259,449565,17323,489315,17270,486512,18152,533203,18044,530040
161,전남완도군,9258,254758,9212,251277,9404,270842,9365,266837,9694,289848,9649,286051,10012,311826,9969,308429
162,전남장성군,12403,362492,12332,359582,12566,385941,12436,383175,13231,422447,13128,419362,13286,435066,13015,431838
163,전남장흥군,8301,236853,8273,235196,8362,244257,8331,242652,8516,262166,8476,260505,8525,272704,8498,271175
164,전남진도군,5498,158319,5482,157453,5477,163706,5456,162878,5660,174338,5633,173612,5920,184498,5904,183824
165,전남함평군,7327,209011,7293,207485,7447,218743,7409,217345,7500,229750,7465,228317,7691,238361,7585,236798
166,전남해남군,14388,383000,13957,379892,14303,393238,14168,390333,14528,422327,14319,419767,15337,451975,14648,449556
167,전남화순군,17952,486422,17680,481653,17964,508674,17671,504185,18001,530925,17753,526721,18772,562893,18297,558721
168,대구소계,777881,24095277,775023,23935285,789442,25555685,786061,25401537,803828,27137320,800424,26975604,819145,28450839,815306,28289589
169,대구남구,41849,1046161,41685,1039092,41656,1091249,41472,1084656,42346,1160349,42150,1152972,43371,1224202,43151,1216357
170,대구달서구,193070,6040477,192280,6001111,194034,6322009,193125,6285065,197451,6672552,196498,6633259,199681,6910886,198681,6872376
171,대구달성군,85326,2512182,85091,2494706,90005,2774925,89770,2758544,94088,3040483,93769,3022495,96979,3221430,96448,3203203
172,대구동구,106449,3040216,106058,3016922,110188,3297807,109749,3274329,111706,3494510,111306,3470367,113389,3668489,112930,3644834
173,대구북구,139339,3984844,138870,3958959,142367,4239629,141625,4214645,146202,4534710,145505,4508142,150514,4818444,149739,4791480
